"","nid","ev.num","time","status","start","stop","z","x","treat"
"1",1,1,360,0,0,360,1.07462335163727,0.22658264846541,0
"2",1,2,360,0,0,360,1.07462335163727,0.22658264846541,0
"3",1,3,360,0,0,360,1.07462335163727,0.22658264846541,0
"4",1,4,83.9404477944911,1,0,83.9404477944911,1.07462335163727,0.22658264846541,0
"5",1,5,158.90476084753,1,0,158.90476084753,1.07462335163727,0.22658264846541,0
"6",1,6,27.4759431811893,1,0,27.4759431811893,1.07462335163727,0.22658264846541,0
"7",1,7,360,0,0,360,1.07462335163727,0.22658264846541,0
"8",1,8,95.1619712928464,1,0,95.1619712928464,1.07462335163727,0.22658264846541,0
"9",1,9,339.859403111567,1,0,339.859403111567,1.07462335163727,0.22658264846541,0
"10",1,10,66.3061302989758,1,0,66.3061302989758,1.07462335163727,0.22658264846541,0
"11",2,1,360,0,0,360,1.06427821014076,0.15287183271721,0
"12",2,2,5.42162642624546,1,0,5.42162642624546,1.06427821014076,0.15287183271721,0
"13",2,3,77.3610089473757,1,0,77.3610089473757,1.06427821014076,0.15287183271721,0
"14",2,4,360,0,0,360,1.06427821014076,0.15287183271721,0
"15",2,5,28.6004358502018,1,0,28.6004358502018,1.06427821014076,0.15287183271721,0
"16",2,6,179.715331472284,1,0,179.715331472284,1.06427821014076,0.15287183271721,0
"17",2,7,360,0,0,360,1.06427821014076,0.15287183271721,0
"18",2,8,360,0,0,360,1.06427821014076,0.15287183271721,0
"19",2,9,32.6254268789963,1,0,32.6254268789963,1.06427821014076,0.15287183271721,0
"20",2,10,231.993444498974,1,0,231.993444498974,1.06427821014076,0.15287183271721,0
"21",3,1,183.722712835741,1,0,183.722712835741,0.868094536662102,0.482324510812759,0
"22",3,2,360,0,0,360,0.868094536662102,0.482324510812759,0
"23",3,3,180.233587462913,1,0,180.233587462913,0.868094536662102,0.482324510812759,0
"24",3,4,26.0169092299027,1,0,26.0169092299027,0.868094536662102,0.482324510812759,0
"25",3,5,21.2064305396319,1,0,21.2064305396319,0.868094536662102,0.482324510812759,0
"26",3,6,360,0,0,360,0.868094536662102,0.482324510812759,0
"27",3,7,0.0150571813308494,1,0,0.0150571813308494,0.868094536662102,0.482324510812759,0
"28",3,8,16.864060721608,1,0,16.864060721608,0.868094536662102,0.482324510812759,0
"29",3,9,3.88184021984622,1,0,3.88184021984622,0.868094536662102,0.482324510812759,0
"30",3,10,142.602614061299,1,0,142.602614061299,0.868094536662102,0.482324510812759,0
"31",4,1,360,0,0,360,1.15712617551908,0.252614935510792,0
"32",4,2,360,0,0,360,1.15712617551908,0.252614935510792,0
"33",4,3,4.42911168030814,1,0,4.42911168030814,1.15712617551908,0.252614935510792,0
"34",4,4,21.9666799242938,1,0,21.9666799242938,1.15712617551908,0.252614935510792,0
"35",4,5,74.6027168570431,1,0,74.6027168570431,1.15712617551908,0.252614935510792,0
"36",4,6,360,0,0,360,1.15712617551908,0.252614935510792,0
"37",4,7,29.4348914175936,1,0,29.4348914175936,1.15712617551908,0.252614935510792,0
"38",4,8,334.820136726347,1,0,334.820136726347,1.15712617551908,0.252614935510792,0
"39",4,9,360,0,0,360,1.15712617551908,0.252614935510792,0
"40",4,10,37.4678115350126,1,0,37.4678115350126,1.15712617551908,0.252614935510792,0
"41",5,1,360,0,0,360,0.917509111016989,0.325351904029958,0
"42",5,2,83.7042985919745,1,0,83.7042985919745,0.917509111016989,0.325351904029958,0
"43",5,3,360,0,0,360,0.917509111016989,0.325351904029958,0
"44",5,4,195.936606684157,1,0,195.936606684157,0.917509111016989,0.325351904029958,0
"45",5,5,360,0,0,360,0.917509111016989,0.325351904029958,0
"46",5,6,280.221303987843,1,0,280.221303987843,0.917509111016989,0.325351904029958,0
"47",5,7,227.814564954657,1,0,227.814564954657,0.917509111016989,0.325351904029958,0
"48",5,8,326.97499084743,1,0,326.97499084743,0.917509111016989,0.325351904029958,0
"49",5,9,249.164343730415,1,0,249.164343730415,0.917509111016989,0.325351904029958,0
"50",5,10,17.9950562381033,1,0,17.9950562381033,0.917509111016989,0.325351904029958,0
"51",6,1,360,0,0,360,1.06070656599477,0.467792337294668,0
"52",6,2,288.28786914095,1,0,288.28786914095,1.06070656599477,0.467792337294668,0
"53",6,3,276.43994441643,1,0,276.43994441643,1.06070656599477,0.467792337294668,0
"54",6,4,44.1252908366127,1,0,44.1252908366127,1.06070656599477,0.467792337294668,0
"55",6,5,58.3208493501728,1,0,58.3208493501728,1.06070656599477,0.467792337294668,0
"56",6,6,169.603963257295,1,0,169.603963257295,1.06070656599477,0.467792337294668,0
"57",6,7,55.8801378167646,1,0,55.8801378167646,1.06070656599477,0.467792337294668,0
"58",6,8,360,0,0,360,1.06070656599477,0.467792337294668,0
"59",6,9,282.125965835271,1,0,282.125965835271,1.06070656599477,0.467792337294668,0
"60",6,10,360,0,0,360,1.06070656599477,0.467792337294668,0
"61",7,1,360,0,0,360,0.875978557951748,0.131895641097799,0
"62",7,2,272.18229257323,1,0,272.18229257323,0.875978557951748,0.131895641097799,0
"63",7,3,204.808609817516,1,0,204.808609817516,0.875978557951748,0.131895641097799,0
"64",7,4,360,0,0,360,0.875978557951748,0.131895641097799,0
"65",7,5,30.6813144604363,1,0,30.6813144604363,0.875978557951748,0.131895641097799,0
"66",7,6,53.6363494372023,1,0,53.6363494372023,0.875978557951748,0.131895641097799,0
"67",7,7,59.1657535129186,1,0,59.1657535129186,0.875978557951748,0.131895641097799,0
"68",7,8,36.9299684649611,1,0,36.9299684649611,0.875978557951748,0.131895641097799,0
"69",7,9,71.025074883243,1,0,71.025074883243,0.875978557951748,0.131895641097799,0
"70",7,10,160.579635555318,1,0,160.579635555318,0.875978557951748,0.131895641097799,0
"71",8,1,360,0,0,360,1.11446403851733,0.119022963335738,0
"72",8,2,360,0,0,360,1.11446403851733,0.119022963335738,0
"73",8,3,28.1679458007761,1,0,28.1679458007761,1.11446403851733,0.119022963335738,0
"74",8,4,114.433134902907,1,0,114.433134902907,1.11446403851733,0.119022963335738,0
"75",8,5,21.7714921333553,1,0,21.7714921333553,1.11446403851733,0.119022963335738,0
"76",8,6,255.512771087907,1,0,255.512771087907,1.11446403851733,0.119022963335738,0
"77",8,7,360,0,0,360,1.11446403851733,0.119022963335738,0
"78",8,8,360,0,0,360,1.11446403851733,0.119022963335738,0
"79",8,9,97.3723927641948,1,0,97.3723927641948,1.11446403851733,0.119022963335738,0
"80",8,10,236.779194064011,1,0,236.779194064011,1.11446403851733,0.119022963335738,0
"81",9,1,48.9013859683479,1,0,48.9013859683479,0.844704668410122,0.254847109434195,0
"82",9,2,243.10636775968,1,0,243.10636775968,0.844704668410122,0.254847109434195,0
"83",9,3,360,0,0,360,0.844704668410122,0.254847109434195,0
"84",9,4,88.8974749594709,1,0,88.8974749594709,0.844704668410122,0.254847109434195,0
"85",9,5,80.8687392669578,1,0,80.8687392669578,0.844704668410122,0.254847109434195,0
"86",9,6,138.551918329567,1,0,138.551918329567,0.844704668410122,0.254847109434195,0
"87",9,7,55.2790331718544,1,0,55.2790331718544,0.844704668410122,0.254847109434195,0
